> ORF 1247	yciX	Clockwise,0.163768
> ORF 1117	ymfM	Clockwise,0.151908
> ORF 135	yadL	Counterclockwise,-0.0159601
> ORF 4142	qorB	Counterclockwise,0.15138
> ORF 667	kdpE	Counterclockwise,0.449293
> ORF 355	tauB	Clockwise,0.826359
> ORF 4020	yjdP	Clockwise,0.632045
> ORF 136	yadM	Counterclockwise,0.218304
> ORF 357	tauD	Clockwise,0.682911
> ORF 4004	nrfG	Clockwise,0.738912
> ORF 139	yadN	Counterclockwise,0.165895
> ORF 301	ykgH	Counterclockwise,0.11133
> ORF 1758	yoaK	Clockwise,0.464288
> ORF 2536	yfiE	Counterclockwise,0.145178
> ORF 1336	ydaV	Clockwise,0.601113
> ORF 140	folK	Counterclockwise,0.209332
> ORF 3016	higA	Counterclockwise,0.213706
> ORF 409	panE	Counterclockwise,0.314312
> ORF 279	ykgJ	Counterclockwise,-0.10101
> ORF 253	insH	Counterclockwise,0.360564
> ORF 142	gluQ	Counterclockwise,0.235179
> ORF 176	skp	Clockwise,0.788805
> ORF 1265	sapD	Counterclockwise,0.286419
> ORF 3749	rhtC	Clockwise,0.809108
> ORF 581	ybdM	Counterclockwise,0.262005
> ORF 1007	csgG	Counterclockwise,0.211524
> ORF 487	allR	Clockwise,0.522097
> ORF 2773	ppdA	Counterclockwise,0.14468
> ORF 144	sfsA	Counterclockwise,0.0946028
> ORF 2537	eamB	Clockwise,0.576628
> ORF 1355	feaR	Counterclockwise,0.35025
> ORF 145	ligT	Counterclockwise,0.0726897
> ORF 2821	ygfM	Clockwise,0.708716
> ORF 402	pgpA	Clockwise,0.786462
> ORF 1745	mipA	Counterclockwise,0.214583
> ORF 217	ykfM	Counterclockwise,-0.0383694
> ORF 2560	aroF	Counterclockwise,0.228404
> ORF 882	cmk	Clockwise,0.504105
> ORF 2992	folB	Counterclockwise,0.297542
> ORF 150	fhuD	Clockwise,0.70317
> ORF 155	yadS	Counterclockwise,0.181008
> ORF 156	btuF	Counterclockwise,0.160568
> ORF 509	sfmA	Clockwise,0.261132
> ORF 438	ybaZ	Counterclockwise,0.250434
> ORF 777	mcbA	Counterclockwise,0.0531289
> ORF 157	mtn	Counterclockwise,0.34764
> ORF 4128	ulaD	Clockwise,0.850362
> ORF 161	yaeH	Counterclockwise,0.594995
> ORF 334	lacI	Counterclockwise,0.353295
> ORF 1672	nlpC	Counterclockwise,0.153048
> ORF 1495	eamA	Counterclockwise,0.159241
> ORF 1393	ydcI	Counterclockwise,0.124409
> ORF 1396	ydcH	Clockwise,0.256019
> ORF 3691	trpT	Clockwise,-0.0900488
> ORF 2999	rpsU	Clockwise,0.68353
> ORF 162	yaeI	Counterclockwise,0.301326
> ORF 1715	ydjZ	Clockwise,0.614213
> ORF 1823	lpxM	Counterclockwise,0.260893
> ORF 2855	ibsC	Counterclockwise,0.262013
> ORF 3011	ebgC	Clockwise,0.58646
> ORF 3861	rpmE	Clockwise,0.501641
> ORF 165	map	Counterclockwise,0.311093
> ORF 181	rnhB	Clockwise,0.791886
> ORF 1548	ynfG	Clockwise,0.5578
> ORF 1579	hdhA	Counterclockwise,0.271501
> ORF 3927	yjaH	Clockwise,0.62691
> ORF 1183	ldrB	Counterclockwise,0.321556
> ORF 167	rpsB	Clockwise,0.808463
> ORF 1664	ydiT	Clockwise,0.634922
> ORF 3697	ilvM	Clockwise,0.276071
> ORF 280	yagV	Counterclockwise,0.0890928
> ORF 168	tsf	Clockwise,0.848862
> ORF 169	pyrH	Clockwise,0.70472
> ORF 1112	ymfI	Clockwise,0.23495
> ORF 506	ybcI	Counterclockwise,0.0761526
> ORF 757	ybhL	Clockwise,0.576601
> ORF 170	frr	Clockwise,0.709269
> ORF 605	lipA	Counterclockwise,0.384393
> ORF 2672	hypC	Clockwise,0.562859
> ORF 172	ispU	Clockwise,0.493203
> ORF 474	qmcA	Counterclockwise,0.360545
> ORF 672	kdpF	Counterclockwise,0.511045
> ORF 1329	sieB	Clockwise,0.27498
> ORF 1321	ydaQ	Counterclockwise,0.299187
> ORF 173	cdsA	Clockwise,0.635849
> ORF 2916	glcE	Counterclockwise,0.255007
> ORF 3328	hslR	Clockwise,0.695152
> ORF 879	serC	Clockwise,0.681192
> ORF 177	lpxD	Clockwise,0.579716
> ORF 751	ybhK	Counterclockwise,0.17223
> ORF 1901	yedL	Clockwise,0.364884
> ORF 178	fabZ	Clockwise,0.819306
> ORF 1095	potB	Counterclockwise,0.35928
> ORF 179	lpxA	Clockwise,0.695927
> ORF 2180	atoA	Clockwise,0.539754
> ORF 393	secF	Clockwise,0.649813
> ORF 1852	cheB	Counterclockwise,0.23686
> ORF 1537	dicB	Clockwise,0.277457
> ORF 1954	cobU	Counterclockwise,0.0651281
> ORF 183	accA	Clockwise,0.904842
> ORF 659	ybfE	Counterclockwise,0.178181
> ORF 187	rof	Counterclockwise,0.42057
> ORF 276	paoB	Counterclockwise,0.440098
> ORF 1703	nadE	Clockwise,0.788412
> ORF 2143	rplY	Clockwise,0.802458
> ORF 188	yaeP	Counterclockwise,0.184309
> ORF 644	glnU	Counterclockwise,0.364698
> ORF 2493	hcaR	Counterclockwise,0.233323
> ORF 1508	pinQ	Clockwise,0.358371
> ORF 189	yaeQ	Clockwise,0.894064
> ORF 3071	yraH	Clockwise,0.533493
> ORF 190	yaeJ	Clockwise,0.561533
> ORF 613	rlmH	Counterclockwise,0.196958
> ORF 537	ybcW	Clockwise,0.554234
> ORF 2802	ygeI	Clockwise,0.143099
> ORF 191	nlpE	Clockwise,0.699872
> ORF 1967	sbmC	Counterclockwise,0.134865
> ORF 2683	ygbM	Clockwise,0.526568
> ORF 286	ykgL	Clockwise,0.0291152
> ORF 2545	yfiM	Clockwise,0.48605
> ORF 3514	yiaU	Clockwise,0.580173
> ORF 2337	ypdE	Counterclockwise,0.338204
> ORF 821	grxA	Counterclockwise,0.250389
> ORF 192	yaeF	Counterclockwise,0.309591
> ORF 1486	yneH	Counterclockwise,0.169686
> ORF 194	yaeB	Counterclockwise,0.218234
> ORF 1446	sra	Counterclockwise,0.564652
> ORF 195	rcsF	Counterclockwise,0.000401211
> ORF 603	crcB	Counterclockwise,-0.0711578
> ORF 2788	lysR	Clockwise,0.56092
> ORF 855	serW	Counterclockwise,-0.329232
> ORF 1169	pth	Counterclockwise,0.158139
> ORF 196	metQ	Counterclockwise,0.214129
> ORF 1353	ynbE	Clockwise,0.723524
> ORF 198	metN	Counterclockwise,0.241601
> ORF 1883	uvrY	Counterclockwise,0.295772
> ORF 3813	dtd	Clockwise,0.487947
> ORF 3259	gspJ	Clockwise,0.54676
> ORF 1649	ydiI	Counterclockwise,0.296422
> ORF 2621	nrdF	Clockwise,0.735859
> ORF 199	gmhB	Clockwise,0.613066
> ORF 274	paoD	Counterclockwise,0.273
> ORF 1761	yoaG	Counterclockwise,0.401676
> ORF 201	ileV	Clockwise,0.511724
> ORF 283	matC	Counterclockwise,0.235392
> ORF 202	alaV	Clockwise,0.205382
> ORF 2188	ubiG	Clockwise,0.752946
> ORF 205	aspU	Clockwise,0.38145
> ORF 683	ybgK	Clockwise,0.60967
> ORF 3398	dcrB	Clockwise,0.754927
> ORF 857	aat	Counterclockwise,0.284455
> ORF 4172	ridA	Counterclockwise,0.202043
> ORF 519	emrE	Clockwise,0.383938
> ORF 2865	argO	Counterclockwise,0.251454
> ORF 982	rutF	Counterclockwise,0.331882
> ORF 678	ybgA	Clockwise,0.703306
> ORF 1887	yecS	Counterclockwise,0.263772
> ORF 1192	narL	Counterclockwise,0.401448
> ORF 4135	rplI	Clockwise,0.78819
> ORF 206	dkgB	Clockwise,0.830831
> ORF 2566	trmD	Counterclockwise,0.0995678
> ORF 3821	fdhD	Clockwise,0.579866
> ORF 1398	ydcK	Counterclockwise,0.259232
> ORF 2668	hycB	Counterclockwise,0.205637
> ORF 207	yafC	Counterclockwise,0.206245
> ORF 340	mhpF	Clockwise,0.759652
> ORF 1909	fliL	Clockwise,0.780171
> ORF 3826	frvA	Counterclockwise,0.30005
> ORF 3243	rplV	Counterclockwise,0.338919
> ORF 209	yafE	Clockwise,0.480398
> ORF 543	ybcH	Counterclockwise,0.304312
> ORF 3724	leuT	Clockwise,-0.0934327
> ORF 1513	gnsB	Counterclockwise,0.203338
> ORF 1090	cobB	Clockwise,0.660852
> ORF 211	gloB	Counterclockwise,0.101823
> ORF 212	yafS	Clockwise,0.543338
> ORF 233	gpt	Clockwise,0.788352
> ORF 578	ybdD	Clockwise,0.765938
> ORF 2690	ispF	Counterclockwise,0.18233
> ORF 213	rnhA	Counterclockwise,0.253134
> ORF 1816	yebG	Counterclockwise,0.273295
> ORF 2737	yqcC	Counterclockwise,0.160117
> ORF 930	sulA	Counterclockwise,0.0749263
> ORF 214	dnaQ	Clockwise,0.569179
> ORF 1201	tyrV	Counterclockwise,-0.699821
> ORF 1002	serX	Counterclockwise,-0.329232
> ORF 692	sdhC	Clockwise,0.426356
> ORF 2153	ccmE	Counterclockwise,0.454279
> ORF 218	yafV	Counterclockwise,0.264132
> ORF 1021	msyB	Counterclockwise,0.312018
> ORF 219	ivy	Clockwise,0.533944
> ORF 335	mhpR	Counterclockwise,0.260121
> ORF 221	lpcA	Clockwise,0.786576
> ORF 345	frmA	Counterclockwise,0.310444
> ORF 2772	ppdB	Counterclockwise,0.293209
> ORF 795	ybiY	Counterclockwise,0.264005
> ORF 658	fldA	Counterclockwise,0.325794
> ORF 1421	mcbR	Clockwise,0.445714
> ORF 222	yafJ	Clockwise,0.595194
> ORF 317	yahM	Clockwise,0.172224
> ORF 223	yafK	Counterclockwise,0.280034
> ORF 297	ykgD	Clockwise,0.356165
> ORF 3017	higB	Counterclockwise,0.0340854
> ORF 2468	yfgM	Counterclockwise,0.397182
> ORF 4298	ytjA	Clockwise,0.454595
> ORF 3909	rplJ	Clockwise,0.698243
> ORF 3237	rplX	Counterclockwise,0.469375
> ORF 224	yafQ	Counterclockwise,0.0596218
> ORF 1468	ydeQ	Counterclockwise,-0.149157
> ORF 2995	ttdA	Clockwise,0.541517
> ORF 225	dinJ	Counterclockwise,0.166926
> ORF 226	yafL	Clockwise,0.492381
> ORF 2417	talA	Clockwise,0.705539
> ORF 228	dinB	Clockwise,0.701398
> ORF 2953	mqsA	Counterclockwise,-0.0115857
> ORF 2137	yejE	Clockwise,0.595247
> ORF 231	yafP	Clockwise,0.541537
> ORF 1938	serU	Counterclockwise,-0.551347
> ORF 1515	cspI	Counterclockwise,0.0253658
> ORF 235	crl	Clockwise,0.634627
> ORF 2798	yqeL	Counterclockwise,-0.0709494
> ORF 1300	ycjY	Counterclockwise,0.104946
> ORF 2600	yfjZ	Clockwise,0.434683
> ORF 1289	ycjS	Clockwise,0.583055
> ORF 236	phoE	Counterclockwise,0.305348
> ORF 2129	yeiP	Clockwise,0.819314
> ORF 3586	selC	Clockwise,0.401726
> ORF 690	ybgD	Counterclockwise,-0.0213141
> ORF 4156	ppa	Counterclockwise,0.147759
> ORF 3795	glnL	Counterclockwise,0.290628
> ORF 353	yaiS	Counterclockwise,0.150603
> ORF 2360	yfeN	Clockwise,0.593309
> ORF 237	proB	Clockwise,0.704857
> ORF 240	ykfI	Counterclockwise,0.176487
> ORF 2934	hybO	Counterclockwise,0.186848
> ORF 1419	yncA	Counterclockwise,0.341412
> ORF 241	yafW	Counterclockwise,0.355298
> ORF 313	yahI	Clockwise,0.803364
> ORF 684	ybgL	Clockwise,0.773625
> ORF 673	ybfA	Clockwise,0.860158
> ORF 242	ykfH	Counterclockwise,0.234865
> ORF 243	ykfG	Counterclockwise,0.398302
> ORF 1584	ydgJ	Counterclockwise,0.169937
> ORF 3032	yqjD	Clockwise,0.847198
> ORF 2031	yegK	Counterclockwise,0.333827
> ORF 245	ykfF	Counterclockwise,0.132653
> ORF 247	yafY	Counterclockwise,0.191513
> ORF 465	ybaK	Counterclockwise,0.321656
> ORF 2609	csiR	Clockwise,0.80066
> ORF 4248	uxuR	Clockwise,0.647287
> ORF 248	yafZ	Counterclockwise,0.222594
> ORF 3111	yhbY	Clockwise,0.773334
> ORF 378	rdgC	Counterclockwise,0.472972
> ORF 910	elfA	Clockwise,0.343038
> ORF 1466	safA	Counterclockwise,0.172034
> ORF 249	ykfA	Counterclockwise,0.293385
> ORF 250	perR	Counterclockwise,0.237725
> ORF 2929	hybE	Counterclockwise,0.313905
> ORF 252	eyeA	Clockwise,0.449309
> ORF 3852	glpF	Counterclockwise,0.111299
> ORF 730	galE	Counterclockwise,0.258292
> ORF 437	ybaY	Clockwise,0.509941
> ORF 905	ssuB	Counterclockwise,0.165399
> ORF 256	mmuM	Clockwise,0.865155
> ORF 2534	yfiC	Counterclockwise,0.28983
> ORF 1344	ynaE	Counterclockwise,0.199174
> ORF 424	hupB	Clockwise,0.741869
> ORF 2914	glcG	Counterclockwise,0.132661
> ORF 257	afuC	Counterclockwise,0.416149
> ORF 2693	ygbE	Counterclockwise,0.183424
> ORF 863	lolA	Clockwise,0.734568
> ORF 769	ybiA	Counterclockwise,-0.011563
> ORF 2354	valX	Clockwise,0.280767
> ORF 261	yagE	Clockwise,0.783387
